date,MoM_raw,MoM_smoothed
2015-11-01,,
2015-12-01,,
2016-01-01,,
2016-02-01,,
2016-03-01,,
2016-04-01,47.42545802911194,47.42545802911194
2016-05-01,48.42468005888177,47.92506904399686
2016-06-01,50.078871363167266,49.00197020358206
2016-07-01,52.15033245439074,50.5761513289864
2016-08-01,51.962255844551215,51.26920358676881
2016-09-01,52.188879482321546,51.729041534545175
2016-10-01,53.11499893890673,52.422020236725956
2016-11-01,54.66191418172108,53.541967209223515
2016-12-01,52.58523988638785,53.063603547805684
2017-01-01,53.794232612282485,53.428918080044085
2017-02-01,53.64807942145622,53.53849875075015
2017-03-01,53.44679820236121,53.49264847655568
2017-04-01,55.75426933811613,54.6234589073359
2017-05-01,52.27757324599374,53.450516076664826
2017-06-01,53.8098542297894,53.63018515322712
2017-07-01,53.04523828046734,53.337711716847224
2017-08-01,52.67654882890981,53.00713027287851
2017-09-01,54.86510868475986,53.93611947881919
2017-10-01,52.30245938440437,53.119289431611776
2017-11-01,52.21999316437634,52.66964129799406
2017-12-01,53.75784366311966,53.21374248055686
2018-01-01,52.90503545348081,53.05938896701883
2018-02-01,51.89459403537783,52.47699150119833
2018-03-01,51.55527633826425,52.01613391973129
2018-04-01,51.51973012214863,51.76793202093996
2018-05-01,48.700875989256446,50.2344040050982
2018-06-01,51.02893498751268,50.631669496305435
2018-07-01,51.47993704186696,51.0558032690862
2018-08-01,53.00656138215081,52.0311823256185
2018-09-01,51.34253856076202,51.68686044319026
2018-10-01,51.9767670209631,51.83181373207668
2018-11-01,51.04754157985422,51.439677655965454
2018-12-01,50.12651589329295,50.7830967746292
2019-01-01,53.25361914231252,52.01835795847086
2019-02-01,54.16930399309208,53.09383097578147
2019-03-01,53.14712927129219,53.12048012353683
2019-04-01,51.34737743641256,52.23392877997469
2019-05-01,52.32697626632906,52.28045252315188
2019-06-01,52.493671559970025,52.38706204156095
2019-07-01,51.07663934773233,51.73185069464664
2019-08-01,52.99086262464056,52.361356659643604
2019-09-01,51.93139245133787,52.14637455549074
2019-10-01,52.60685928079545,52.37661691814309
2019-11-01,52.09102065040634,52.23381878427472
2019-12-01,50.868069238325226,51.550944011299976
2020-01-01,55.08735028611838,53.31914714870918
2020-02-01,49.360255783919875,51.33970146631452
2020-03-01,55.09583867443365,53.21777007037409
2020-04-01,52.39159058940278,52.804680329888434
2020-05-01,51.71843350509131,52.26155691748987
2020-06-01,51.35754432683576,51.80955062216282
2020-07-01,53.04790283342891,52.42872672779586
2020-08-01,53.64662268920861,53.03767470850224
2020-09-01,53.361020425967794,53.199347567235016
2020-10-01,52.4539606850393,52.82665412613716
2020-11-01,52.75853168598021,52.79259290605869
2020-12-01,53.07697503437363,52.93478397021616
2021-01-01,51.81273074477302,52.37375735749459
2021-02-01,51.55878570690259,51.96627153219859
2021-03-01,49.41296085098885,50.68961619159372
2021-04-01,52.50079235770172,51.59520427464772
2021-05-01,50.602149567310484,51.0986769209791
2021-06-01,52.78524610252935,51.94196151175423
2021-07-01,51.775803689316334,51.85888260053528
2021-08-01,52.838478486871715,52.348680543703495
2021-09-01,51.68539005070709,52.0170352972053
2021-10-01,48.82272728828273,50.41988129274401
2021-11-01,54.312496945650736,52.36618911919737
2021-12-01,50.40388992975194,51.38503952447466
2022-01-01,56.998348346876696,54.19169393567567
2022-02-01,53.47748179703666,53.834587866356166
2022-03-01,53.52087829440668,53.67773308038142
2022-04-01,53.03555855747181,53.356645818926616
2022-05-01,49.94006537806193,51.64835559849428
2022-06-01,49.984007424526574,50.81618151151042
2022-07-01,50.950374893057585,50.883278202284004
2022-08-01,49.94136404183731,50.41232112206066
2022-09-01,53.33501632037934,51.87366872122
2022-10-01,51.862893599682025,51.86828116045101
2022-11-01,50.12992566350236,50.99910341197669
2022-12-01,50.56124502490424,50.780174218440465
2023-01-01,50.265064731787106,50.522619475113785
2023-02-01,53.85662179634486,52.18962063572933
2023-03-01,53.266025464411975,52.727823050070654
2023-04-01,53.048419396475275,52.88812122327296
2023-05-01,51.523504744814666,52.20581298404382
2023-06-01,54.05672420697834,53.131268595511074
2023-07-01,55.07041496151271,54.10084177851189
2023-08-01,53.38733106615509,53.744086422333496
2023-09-01,54.180133004523846,53.962109713428674
2023-10-01,52.7932173993849,53.37766355640679
2023-11-01,50.38189498240286,51.87977926940482
2023-12-01,55.187555635784676,53.53366745259475
2024-01-01,54.50710163713807,54.02038454486641
2024-02-01,52.35523608404964,53.18781031445803
2024-03-01,51.47752384890702,52.33266708168252
2024-04-01,54.65467884598307,53.49367296383279
2024-05-01,50.37689814404937,51.935285553941085
2024-06-01,50.029071409884324,50.982178481912705
2024-07-01,51.369941944827424,51.176060213370064
2024-08-01,49.76462718083246,50.470343697101264
2024-09-01,52.12472368652986,51.29753369181556
2024-10-01,51.50002961065074,51.39878165123315
2024-11-01,52.580634524620244,51.9897080879267
2024-12-01,51.02882437889584,51.50926623341127
2025-01-01,51.99613583629052,51.752701034850894
2025-02-01,52.63423566860748,52.19346835172919
2025-03-01,52.62258898885368,52.40802867029143
2025-04-01,52.52689838314619,52.46746352671881
2025-05-01,53.64678396855549,53.05712374763715
2025-06-01,53.55829260514829,53.30770817639272
2025-07-01,51.81141858796595,52.559563382179334
2025-08-01,51.22406549401491,51.89181443809712
2025-09-01,50.66118718570697,51.27650081190205
2025-10-01,52.99293174713882,52.13471627952043
